protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
P50866,clpX,0,0,0,0,0,0,0,0,1
P35163,resD,0,0,0,0,0,0,0,0,1
P37942,bfmBB,0,0,0,0,0,0,0,0,1
Q06752,cysS,0,-1,0,0,0,0,0,0,0
P23966,menB,0,-1,0,0,0,0,0,0,0
P18159,pgcA,0,-1,0,0,1,1,0,0,0
P70999,speB,0,-1,0,0,0,0,0,0,0
P22250,gltX,0,-1,0,0,0,0,0,0,0
Q03222,rho,0,0,0,0,0,0,0,0,1
O34443,apt,0,0,0,0,1,0,0,0,0
P46922,opuAC,0,0,0,0,0,0,1,0,0
O31749,pyrH,0,0,0,0,0,0,0,0,1
P55342,bshC,0,-1,0,0,0,0,0,0,0
