Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
C,GerR+,cgeA,BSU19780,0,-1.1,-1.4,-1.4,-3.3,-2.1,2.8,3.8,4,-2.7,-4,-3.5
C,GerR+,cgeB,BSU19790,0,-1.1,-1.6,-1.8,-2.9,-1.8,3.1,4.3,4.8,-1.8,-3.1,-3
C,GerR+,cotY,BSU11750,0,0,0,4.4,4.5,7.7,8.4,8.5,8.5,-0.6,-0.9,-0.7
C,GerR+,spoVIF,BSU11810,0,-1,-1.9,-1.2,-0.3,3.7,4.2,4.4,4.4,-3.3,-4,-3.7
D,GerR-,cotU,BSU17670,0,1,1,1.1,0.4,0.5,2.3,4.7,5.2,0.6,-0.5,-0.1
D,GerR-,spoIIP,BSU25530,0,-0.2,1.6,5.2,5,4.8,4.7,4.5,4.8,-0.2,-0.2,-0.1
E,Spo0A+,abbA, BSU14120,0,1.4,2.2,1.6,2.3,2.3,0.9,1.5,0.9,0.5,0.5,0.4
E,Spo0A+,accA,BSU29200,0,-0.2,0.6,0,-0.5,-0.9,-1.6,-1.1,-1.6,1,0.7,0.9
E,Spo0A+,accD,BSU29210,0,0.3,0.9,0.4,0.1,-0.2,-1.1,-0.6,-0.8,1.1,1.1,1.1
E,Spo0A+,ccpC,BSU14140,0,1,1.5,0.6,1.2,1.1,0.2,0.5,0,0.7,0.8,0.6
E,Spo0A+,kinA,BSU13990,0,0.7,1.5,-0.1,-0.5,-1.1,-1.8,-1.1,-1.7,-2.3,-1.8,-2.1
E,Spo0A+,kinC,BSU14490,0,-0.6,-1.1,-2.7,-3,-3.5,-3.6,-3.2,-3,-0.6,-0.4,-0.5
E,Spo0A+,putP,BSU03220,0,3.9,1.3,0.7,1,1.2,1.1,-0.2,0.4,0.5,0.7,0.1
E,Spo0A+,racA,BSU37030,0,-0.5,4.6,3.7,3.6,3,2.4,2.9,2.8,0.1,-0.1,0.2
E,Spo0A+,sdpB,BSU33760,0,3.4,3.3,1.8,1.5,0.1,-2.8,-1.4,-2.1,-3.8,-4.2,-4.1
E,Spo0A+,sdpC,BSU33770,0,0.9,1,0.9,0.9,0.8,-0.7,-0.1,-2,-5.8,-5.8,-5.8
E,Spo0A+,sigE,BSU15320,0,0.3,6.2,6.7,6.2,5.8,4.6,5.1,4.5,0.2,0.4,0.3
E,Spo0A+,sinI,BSU24600,0,-0.4,2,2.9,3.2,2.9,2.3,2.7,2.4,-1.1,-0.9,-1.2
E,Spo0A+,sirA,BSU17900,0,0.5,5.5,4.5,4,3.4,0.9,2.1,1.2,0.9,0.9,0.9
E,Spo0A+,skfA,BSU01910,0,0.9,3.6,3.7,3.6,3.4,3.4,3.2,3.3,-2.9,-2.5,-2.3
E,Spo0A+,skfB,BSU01920,0,1.2,4.5,3.8,3.5,2.2,0.9,1.3,0.3,-1.3,-1.1,-1.2
E,Spo0A+,skfC,BSU01935,0,1.1,4.2,3.5,3,1.8,0.6,1,-0.1,-1.4,-1.1,-1.2
E,Spo0A+,skfE,BSU01950,0,1.5,3.7,2.9,2.6,1.4,0.4,0.5,-0.6,-1.6,-1.4,-1.5
E,Spo0A+,skfF,BSU01960,0,1.6,3.9,3.1,2.6,1.5,0.6,0.7,-0.4,-1,-0.9,-1
