geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
bioYB,BSU32030,,yuiG,,,
yuiF,BSU32040,,,,,
pepA,BSU32050,,yuiE,,,
yuiD,BSU32060,,,,,
yuiC,BSU32070,,,,,
yuiB,BSU32080,,,,,
yuiA,BSU32090,,yumA,,,
yumB,BSU32100,,,,,
yumC,BSU32110,,,,,
yuzG,BSU32120,,,,,
guaC,BSU32130,,yumD,,,
paiB,BSU32140,,yumE,,,
paiA,BSU32150,,,,,
sufA,BSU32160,,yutM,,,
dapF,BSU32170,,yutL,,,
yutK,BSU32180,,,,,
yuzB,BSU32190,,,,,
yutJ,BSU32200,,,,,
yuzD,BSU32210,,,,,
yutI,BSU32220,,,,,
yuxL,BSU32230,,,,,
thrB,BSU32240,,,,,
thrC,BSU32250,,,,,
hom,BSU32260,,tdm,,,
yutH,BSU32270,,,,,
yutG,BSU32280,,,,,
yutF,BSU32290,,,,,
yutE,BSU32300,,hepT,,,
yutD,BSU32310,,,,,
yutC,BSU32320,,,,,
lipA,BSU32330,,yutB,,,
lytH,BSU32340,,yunA,yutA,,
yunB,BSU32350,,,,,
yunC,BSU32360,,,,,
yunD,BSU32370,,,,,
yunE,BSU32380,,,,,
yunF,BSU32390,,,,,
yunG,BSU32400,,,,,
allB,BSU32410,,pucH,yunH,,
pucR,BSU32420,,yunI,,,
pucJ,BSU32430,,yunJ,,,
pucK,BSU32440,,yunK,,,
pucL,BSU32450,,yunL,,,
pucM,BSU32460,,yunM,,,
yuzJ,BSU32469,,,,,
pucE,BSU32470,,yurB,,,
pucD,BSU32480,,yurC,,,
pucC,BSU32490,,yurD,,,
pucB,BSU32500,,yurE,,,
pucA,BSU32510,,yurF,,,
pucG,BSU32520,,yurG,,,
pucF,BSU32530,,yurH,,,
bsn,BSU32540,,yurI,,,
yurJ,BSU32550,,,,,
yurK,BSU32560,,,,,
frlD,BSU32570,,yurL,,,
yurM,BSU32580,,,,,
yurN,BSU32590,,,,,
yurO,BSU32600,,,,,
frlB,BSU32610,,yurP,,,
yurQ,BSU32620,,,,,
yurR,BSU32630,,,,,
sspG,BSU32640,,,,,
yurS,BSU32650,,,,,
yurT,BSU32660,,,,,
yuzN,BSU32669,,,,,
sufB,BSU32670,,,,,
sufU,BSU32680,,iscU,nifU,yurV,
sufS,BSU32690,,csd,yurW,,
sufD,BSU32700,,yurX,,,
sufC,BSU32710,,yurY,,,
yuzK,BSU32719,,,,,
yurZ,BSU32720,,,,,
metQ,BSU32730,,yusA,,,
metP,BSU32740,,yusB,,,
metN,BSU32750,,yusC,,,
yusD,BSU32760,,,,,
yusE,BSU32770,,,,,
yusF,BSU32780,,,,,
yusG,BSU32790,,,,,
gcvH,BSU32800,,yusH,,,
yusI,BSU32810,,,,,
fadE,BSU32820,,yusJ,,,
fadA,BSU32830,,yusK,,,
fadN,BSU32840,,yusL,,,
yuzL,BSU32849,,,,,
fadM,BSU32850,,yusM,,,
yuzM,BSU32859,,,,,
yusN,BSU32860,,,,,
yusO,BSU32870,,,,,
yusP,BSU32880,,,,,
yusQ,BSU32890,,,,,
yusR,BSU32900,,,,,
yusS,BSU32910,,,,,
yusT,BSU32920,,,,,
yusU,BSU32930,,,,,
yusV,BSU32940,,,,,
yusW,BSU32950,,,,,
yusZ,BSU32980,,yvxA,,,
mrgA,BSU32990,,,,,
htrB,BSU33000,,yvtA,,,
cssR,BSU33010,,,,,
cssS,BSU33020,,yvqB,,,
spxO,BSU33029,,yirB,yuzO,,
yuxN,BSU33030,,,,,
fumC,BSU33040,,citG,,,
yvzF,BSU33049,,,,,
gerAA,BSU33050,,gerA1,,,
gerAB,BSU33060,,gerA2,,,
gerAC,BSU33070,,gerA3,,,
liaR,BSU33080,,yvqC,,,
liaS,BSU33090,,yvqE,,,
liaF,BSU33100,,yvqF,,,
liaG,BSU33110,,yvqG,,,
liaH,BSU33120,,yvqH,,,
liaI,BSU33130,,yvqI,,,
yvqJ,BSU33140,,,,,
yvqK,BSU33150,,,,,
yvrA,BSU33160,,,,,
yvrB,BSU33170,,,,,
yvrC,BSU33180,,,,,
yvrD,BSU33190,,,,,
yvrE,BSU33200,,,,,
yvrG,BSU33210,,,,,
yvrH,BSU33220,,yvrHb,,,
rsoA,BSU33222,,yvrHa,,,
sigO,BSU33230,,yvrI,,,
yvrJ,BSU33239,,,,,
oxdC,BSU33240,,yvrK,,,
yvrL,BSU33250,,,,,
yvrN,BSU33260,,yvrM,yziB,,
yvrO,BSU33270,,,,,
yvrP,BSU33280,,,,,
fhuC,BSU33290,,,,,
fhuG,BSU33300,,,,,
fhuB,BSU33310,,,,,
fhuD,BSU33320,,,,,
yvsH,BSU33330,,,,,
sspJ,BSU33340,,,,,
yvsG,BSU33350,,,,,
yvgJ,BSU33360,,,,,
yvgK,BSU33370,,yvsE,,,
yvgL,BSU33380,,yvsD,,,
yvgM,BSU33390,,,,,
yvgN,BSU33400,,,,,
yvgO,BSU33410,,,,,
nhaK,BSU33420,,yvgP,,,
cysI,BSU33430,,yvgQ,,,
cysJ,BSU33440,,yvgR,,,
helD,BSU33450,,yvgS,,,
yvgT,BSU33460,,,,,
bdbC,BSU33470,,yvgU,,,
bdbD,BSU33480,,yvgV,,,
cadA,BSU33490,,yvgW,,,
copA,BSU33500,,yvgX,,,
copZ,BSU33510,,yvgY,,,
csoR,BSU33520,,yvgZ,,,
iolW,BSU33530,,yvaA,,,
azoR2,BSU33540,,yvaB,,,
yvaC,BSU33550,,,,,
yvaD,BSU33560,,,,,
yvaE,BSU33570,,,,,
yvaF,BSU33580,,,,,
yvaG,BSU33590,,,,,
smpB,BSU33600,,yvaI,,,
rnr,BSU33610,,vacB,yvaJ,,
est,BSU33620,,yvaK,,,
secG,BSU33630,,yvaL,,,
yvaM,BSU33640,,,,,
yvzC,BSU33650,,,,,
rghR,BSU33660,,rghRA,yvaN,,
rghRB,BSU33670,,yvaO,,,
yvaP,BSU33680,,,,,
yvaQ,BSU33690,,,,,
opuBD,BSU33700,,proZ,,,
opuBC,BSU33710,,proX,,,
opuBB,BSU33720,,proW,,,
opuBA,BSU33730,,proV,,,
yvaV,BSU33740,,,,,
sdpA,BSU33750,,yvaW,,,
sdpB,BSU33760,,yvaX,,,
sdpC,BSU33770,,yvaY,,,
sdpI,BSU33780,,yvaZ,,,
sdpR,BSU33790,,yvbA,,,
opuCD,BSU33800,,yvbB,,,
opuCC,BSU33810,,yvbC,,,
opuCB,BSU33820,,yvbD,,,
opuCA,BSU33830,,yvbE,,,
opcR,BSU33840,,yvbF,,,
yvbG,BSU33850,,,,,
yvbH,BSU33860,,,,,
yvbI,BSU33870,,,,,
yvbJ,BSU33880,,,,,
yvbK,BSU33890,,,,,
eno,BSU33900,,,,,
gpmI,BSU33910,,pgm,,,
tpiA,BSU33920,,tpi,,,
pgk,BSU33930,,,,,
gapA,BSU33940,,gap,,,
cggR,BSU33950,,yvbQ,,,
araE,BSU33960,,yvbR,,,
araR,BSU33970,,araC,yvbS,,
yvbT,BSU33980,,,,,
yvbU,BSU33990,,,,,
yvbV,BSU34000,,,,,
yvbW,BSU34010,,,,,
yvbX,BSU34020,,,,,
lutC,BSU34030,,yvbY,,,
lutB,BSU34040,,yvfW,,,
lutA,BSU34050,,yvfV,,,
yvfU,BSU34060,,,,,
yvfT,BSU34070,,,,,
yvfS,BSU34080,,,,,
yvfR,BSU34090,,,,,
rsbQ,BSU34100,,yvfQ,,,
rsbP,BSU34110,,yvfP,,,
ganB,BSU34120,,galA,yvfO,,
ganA,BSU34130,,galO,lacA,yvfN,
ganQ,BSU34140,,yvfM,,,
ganP,BSU34150,,yvfL,,,
ganS,BSU34160,,cycB,yvfK,,
ganR,BSU34170,,lacR,yvfJ,,
lutR,BSU34180,,yvfI,,,
lutP,BSU34190,,yvfH,,,
sigL,BSU34200,,,,,
yvfG,BSU34210,,,,,
epsO,BSU34220,,yvfF,,,
epsN,BSU34230,,yvfE,,,
epsM,BSU34240,,yvfD,,,
epsL,BSU34250,,yvfC,,,
epsK,BSU34265,,yvfA,yvfB,,
epsJ,BSU34280,,yveT,,,
epsI,BSU34290,,yveS,,,
epsH,BSU34300,,yveR,,,
epsG,BSU34310,,yveQ,,,
epsF,BSU34320,,yveP,,,
epsE,BSU34330,,yveO,,,
epsD,BSU34340,,yveN,,,
epsC,BSU34350,,yveM,,,
yveL,BSU34360,,,,,
yveK,BSU34370,,,,,
slrR,BSU34380,,slryveJ,,,
pnbA,BSU34390,,estB,,,
padC,BSU34400,,padyveH,,,
yveG,BSU34410,,,,,
yveF,BSU34420,,,,,
racX,BSU34430,,,,,
pbpE,BSU34440,,,,,
sacB,BSU34450,,,,,
levB,BSU34460,,yveB,,,
yveA,BSU34470,,,,,
yvdT,BSU34480,,,,,
yvdS,BSU34490,,,,,
yvdR,BSU34500,,,,,
yvdQ,BSU34510,,,,,
yvdP,BSU34520,,,,,
cotR,BSU34530,,yvdO,,,
clpP,BSU34540,,yvdN,,,
yvdM,BSU34550,,,,,
malL,BSU34560,,yvdL,,,
mdxK,BSU34570,,malK,yvdK,,
yvdJ,BSU34580,,,,,
mdxG,BSU34590,,yvdI,,,
mdxF,BSU34600,,yvdH,,,
mdxE,BSU34610,,yvdG,,,
bbmA,BSU34620,,yvdF,,,
yvdE,BSU34630,,,,,
yvdD,BSU34640,,,,,
yvdC,BSU34650,,,,,
yvdB,BSU34660,,,,,
yvdA,BSU34670,,,,,
yvcT,BSU34680,,,,,
yvcS,BSU34690,,,,,
yvcR,BSU34700,,,,,
yvcQ,BSU34710,,,,,
yvcP,BSU34720,,,,,
yvzJ,BSU34729,,,,,
yvcN,BSU34730,,,,,
crh,BSU34740,,yvcM,,,
whiA,BSU34750,,yvcL,,,
mgfK,BSU34760,,yvcK,,,
yvcJ,BSU34770,,,,,
yvcI,BSU34780,,,,,
trxB,BSU34790,,yvcH,,,
cwlO,BSU34800,,yvcE,yzkA,,
yvcD,BSU34810,,,,,
bmrA,BSU34820,,yvcC,,,
yvzA,BSU34830,,,,,
yvcB,BSU34840,,yvrB,,,
yvcA,BSU34850,,yvrA,,,
hisI,BSU34860,,hisIE,,,
hisF,BSU34870,,,,,
hisA,BSU34880,,,,,
hisH,BSU34890,,,,,
hisB,BSU34900,,,,,
hisD,BSU34910,,,,,
hisG,BSU34920,,,,,
hisZ,BSU34930,,,,,
yvpB,BSU34940,,,,,
pelC,BSU34950,,yvpA,,,
yvoF,BSU34960,,,,,
ppaX,BSU34970,,hprP,ptsL,yvoE,
yvoD,BSU34980,,,,,
lgt,BSU34990,,gerF,,,
hprK,BSU35000,,ptsK,yvoB,,
nagA,BSU35010,,,,,
nagB,BSU35020,,,,,
nagR,BSU35030,,yvoA,,,
yvnB,BSU35040,,,,,
yvnA,BSU35050,,,,,
cypX,BSU35060,,cyp134,cypB,,
yvmC,BSU35070,,,,,
pchR,BSU35080,,yvmB,yzhA,,
yvmA,BSU35090,,,,,
yvlD,BSU35100,,,,,
yvlC,BSU35110,,,,,
yvlB,BSU35120,,,,,
yvlA,BSU35130,,,,,
yvkN,BSU35140,,,,,
yvzB,BSU35150,,,,,
uvrA,BSU35160,,,,,
uvrB,BSU35170,,dinA,uvr,,
csbA,BSU35180,,,,,
yvkC,BSU35190,,,,,
yvkB,BSU35200,,,,,
yvkA,BSU35210,,,,,
minJ,BSU35220,,swrAB,yvjD,,
swrAA,BSU35230,,swrA,,,
ctpB,BSU35240,,yvjB,,,
ftsX,BSU35250,,,,,
ftsE,BSU35260,,,,,
cccB,BSU35270,,,,,
yvjA,BSU35280,,,,,
prfB,BSU35290,,,,,
secA,BSU35300,,div+,,,
yvyD,BSU35310,,hpf,yviI,,
yvzG,BSU35319,,,,,
fliT,BSU35320,,,,,
fliS,BSU35330,,,,,
fliD,BSU35340,,mrgB,,,
yvyC,BSU35350,,yviH,,,
hag,BSU35360,,,,,
csrA,BSU35370,,sow,yviG,,
fliW,BSU35380,,yviF,,,
yviE,BSU35390,,,,,
flgL,BSU35400,,yviD,,,
flgK,BSU35410,,,,,
yvyG,BSU35420,,yviC,,,
flgM,BSU35430,,,,,
yvyF,BSU35440,,yviB,,,
comFC,BSU35450,,comF3,,,
comFB,BSU35460,,comF2,,,
comFA,BSU35470,,comF1,,,
degV,BSU35480,,yviA,,,
degU,BSU35490,,iep,,,
degS,BSU35500,,sacU,,,
yvyE,BSU35510,,yvhK,,,
tagV,BSU35520,,yvhJ,,,
tagO,BSU35530,,yvhI,,,
tuaH,BSU35540,,yvhH,,,
tuaG,BSU35550,,yvhG,,,
tuaF,BSU35560,,yvhF,,,
tuaE,BSU35570,,yvhE,,,
tuaD,BSU35580,,yvhD,,,
tuaC,BSU35590,,yvhC,,,
tuaB,BSU35600,,yvhB,,,
tuaA,BSU35610,,yvhA,,,
lytC,BSU35620,,cwlB,,,
lytB,BSU35630,,cwbA,,,
lytA,BSU35640,,lppX,,,
tagU,BSU35650,,lytR,,,
mnaA,BSU35660,,,,,
gtaB,BSU35670,,,,,
ggaB,BSU35680,,,,,
ggaA,BSU35690,,,,,
tagH,BSU35700,,,,,
tagG,BSU35710,,,,,
tagF,BSU35720,,rodC,tag3,,
tagE,BSU35730,,gtaA,rodD,,
tagD,BSU35740,,,,,
tagA,BSU35750,,,,,
tagB,BSU35760,,,,,
tagC,BSU35770,,dinC,,,
lytD,BSU35780,,cwlG,,,
yvyI,BSU35790,,pmi,,,
gerBA,BSU35800,,,,,
gerBB,BSU35810,,,,,
gerBC,BSU35820,,,,,
ywtG,BSU35830,,,,,
tagT,BSU35840,,ywtF,,,
ywtE,BSU35850,,,,,
pgdS,BSU35860,,ywtD,,,
ywtC,BSU35870,,,,,
capA,BSU35880,,pgsA,ywtB,,
capC,BSU35890,,pgsC,ywtA,,
capB,BSU35900,,pgsB,ywsC,,
rbsR,BSU35910,,,,,
rbsK,BSU35920,,,,,
rbsD,BSU35930,,,,,
rbsA,BSU35940,,,,,
rbsC,BSU35950,,,,,
rbsB,BSU35960,,,,,
ywsB,BSU35970,,,,,
ywsA,BSU35980,,,,,
ywrO,BSU35990,,,,,
alsD,BSU36000,,,,,
alsS,BSU36010,,,,,
alsR,BSU36020,,,,,
ywrK,BSU36030,,,,,
ywrJ,BSU36040,,,,,
cotB,BSU36050,,,,,
cotH,BSU36060,,ywrH,,,
cotG,BSU36070,,,,,
ywrF,BSU36080,,,,,
ywrE,BSU36090,,,,,
ywrD,BSU36100,,,,,
ywrC,BSU36110,,,,,
ywrB,BSU36120,,,,,
ywrA,BSU36130,,,,,
ywqO,BSU36140,,,,,
ywqN,BSU36150,,,,,
ywqM,BSU36160,,,,,
nfi,BSU36170,,ywqL,,,
ywqK,BSU36180,,,,,
ywqJ,BSU36190,,,,,
ywqI,BSU36200,,,,,
ywqH,BSU36210,,,,,
ywqG,BSU36220,,,,,
ywqF,BSU36230,,,,,
ywqE,BSU36240,,,,,
ywqD,BSU36250,,,,,
ywqC,BSU36260,,,,,
ywzD,BSU36269,,,,,
ywqB,BSU36270,,,,,
ywqA,BSU36280,,,,,
ywpJ,BSU36290,,,,,
glcR,BSU36300,,ywpI,,,
ssbB,BSU36310,,ywpH,,,
ywpG,BSU36320,,,,,
ywpF,BSU36330,,,,,
ywpE,BSU36340,,,,,
ywpD,BSU36350,,,,,
mscL,BSU36360,,ywpC,,,
fabZ,BSU36370,,ywpB,,,
rapD,BSU36380,,ywpA,,,
flhP,BSU36390,,yvyB,,,
flhO,BSU36400,,yvyA,,,
mbl,BSU36410,,,,,
spoIIID,BSU36420,,,,,
usd,BSU36430,,,,,
ywoH,BSU36440,,,,,
ywoG,BSU36450,,,,,
ywoF,BSU36460,,,,,
pucI,BSU36470,,ywoE,,,
ywoD,BSU36480,,,,,
ywoC,BSU36490,,,,,
ywoB,BSU36500,,,,,
nrgA,BSU36510,,amtB,,,
nrgB,BSU36520,,,,,
bcrC,BSU36530,,ywoA,,,
ywnJ,BSU36540,,,,,
spoIIQ,BSU36550,,ywnI,,,
ywnH,BSU36560,,,,,
ywnG,BSU36570,,,,,
ywnF,BSU36580,,,,,
clsA,BSU36590,,ywnE,,,
mta,BSU36600,,ywnD,,,
ywnC,BSU36610,,,,,
ywnB,BSU36620,,,,,
ywnA,BSU36630,,,,,
ureC,BSU36640,,,,,
ureB,BSU36650,,,,,
ureA,BSU36660,,,,,
csbD,BSU36670,,ywmG,,,
ywmF,BSU36680,,,,,
rapB,BSU36690,,spo0P,ywmE,,
moaA,BSU36700,,narA,narAB,,
fdhD,BSU36710,,narAA,narQ,,
ywmE,BSU36720,,,,,
ywmD,BSU36730,,,,,
ywmC,BSU36740,,,,,
spoIID,BSU36750,,spoIIC,,,
murAA,BSU36760,,murA,,,
ywmB,BSU36770,,,,,
ywzB,BSU36780,,,,,
ywmA,BSU36790,,,,,
atpC,BSU36800,,,,,
atpD,BSU36810,,,,,
atpG,BSU36820,,,,,
atpA,BSU36830,,,,,
atpH,BSU36840,,,,,
atpF,BSU36850,,,,,
atpE,BSU36860,,,,,
atpB,BSU36870,,,,,
atpI,BSU36880,,,,,
upp,BSU36890,,,,,
glyA,BSU36900,,glyC,,,
ywlG,BSU36910,,,,,
ywlF,BSU36920,,,,,
ywlE,BSU36930,,,,,
mntP,BSU36940,,ywlD,,,
ywlC,BSU36950,,,,,
ywlB,BSU36960,,,,,
spoIIR,BSU36970,,,,,
ywlA,BSU36980,,,,,
ywkF,BSU36990,,,,,
prmC,BSU37000,,ywkE,,,
prfA,BSU37010,,,,,
ywkD,BSU37020,,,,,
racA,BSU37030,,ywkC,,,
ywkB,BSU37040,,,,,
maeA,BSU37050,,,,,
tdk,BSU37060,,,,,
rpmE,BSU37070,,,,,
rho,BSU37080,,,,,
glpX,BSU37090,,ywjI,,,
murAB,BSU37100,,murA,murZ,,
tal,BSU37110,,ywjH,,,
fbaA,BSU37120,,fba,fba1,tsr,
spo0F,BSU37130,,,,,
ywjG,BSU37140,,,,,
pyrG,BSU37150,,ctrA,,,
rpoE,BSU37160,,,,,
acdA,BSU37170,,acd,,,
fadF,BSU37180,,ywjF,,,
clsB,BSU37190,,ywjE,,,
uvsE,BSU37200,,ywjD,,,
ywjC,BSU37210,,,,,
ywjB,BSU37220,,,,,
ywjA,BSU37230,,,,,
ywiE,BSU37240,,,,,
narI,BSU37250,,,,,
narJ,BSU37260,,,,,
narH,BSU37270,,,,,
narG,BSU37280,,,,,
arfM,BSU37290,,,,,
ywiC,BSU37300,,,,,
fnr,BSU37310,,,,,
narK,BSU37320,,,,,
argS,BSU37330,,,,,
ywiB,BSU37340,,,,,
sboA,BSU37350,,sbo,,,
sboX,BSU37360,,,,,
albA,BSU37370,,ywiA,,,
albB,BSU37380,,ywhR,,,
albC,BSU37390,,ywhQ,,,
albD,BSU37400,,ywhP,,,
albE,BSU37410,,ywhO,,,
albF,BSU37420,,ywhN,,,
albG,BSU37430,,ywhM,,,
ywhL,BSU37440,,,,,
ywhK,BSU37450,,,,,
rapF,BSU37460,,ywhJ,,,
phrF,BSU37470,,ywhI,,,
ywhH,BSU37480,,,,,
speB,BSU37490,,ywhG,,,
speE,BSU37500,,ywhF,,,
pbpG,BSU37510,,ywhE,,,
ywhD,BSU37520,,,,,
ywhC,BSU37530,,,,,
ywhB,BSU37540,,,,,
ywhA,BSU37550,,,,,
thrZ,BSU37560,,thrS2,,,
mmr,BSU37570,,,,,
ywgB,BSU37580,,,,,
ywgA,BSU37590,,,,,
ywfO,BSU37600,,,,,
ywzC,BSU37610,,,,,
rsfA,BSU37620,,ywfN,,,
ywfM,BSU37630,,,,,
lipL,BSU37640,,ywfL,,,
cysL,BSU37650,,ywfK,,,
pta,BSU37660,,ywfJ,,,
chdC,BSU37670,,hemQ,ywfI,,
bacG,BSU37680,,ywfH,,,
bacF,BSU37690,,ywfG,,,
bacE,BSU37700,,ywfF,,,
bacD,BSU37710,,ywfE,,,
bacC,BSU37720,,ywfD,,,
bacB,BSU37730,,ywfC,,,
bacA,BSU37740,,ywfB,,,
ywfA,BSU37750,,,,,
rocC,BSU37760,,,,,
rocB,BSU37770,,,,,
rocA,BSU37780,,,,,
rocG,BSU37790,,gudA,yweB,,
bslB,BSU37800,,yweA,,,
spsL,BSU37810,,,,,
spsK,BSU37820,,,,,
rfbB,BSU37830,,spsJ,,,
rmlA,BSU37840,,spsI,,,
spsG,BSU37850,,spsH,,,
spsF,BSU37860,,,,,
spsE,BSU37870,,,,,
spsD,BSU37880,,,,,
spsC,BSU37890,,,,,
spsB,BSU37900,,,,,
spsA,BSU37910,,,,,
gerQ,BSU37920,,ywdL,,,
ywdK,BSU37930,,,,,
ywdJ,BSU37940,,,,,
ywdI,BSU37950,,,,,
ywdH,BSU37960,,,,,
ung,BSU37970,,ywdG,,,
ywdF,BSU37980,,,,,
ywdE,BSU37990,,,,,
ywdD,BSU38000,,,,,
ywzG,BSU38018,,,,,
pdxK,BSU38020,,ywdB,,,
ywdA,BSU38030,,,,,
sacA,BSU38040,,,,,
sacP,BSU38050,,,,,
ywcJ,BSU38060,,,,,
sacT,BSU38070,,,,,
ywcI,BSU38080,,,,,
vpr,BSU38090,,,,,
ywcH,BSU38100,,,,,
nfrA1,BSU38110,,nfrA,ywcG,,
rodA,BSU38120,,ywcF,,,
ywcE,BSU38130,,,,,
qoxD,BSU38140,,,,,
qoxC,BSU38150,,,,,
qoxB,BSU38160,,,,,
qoxA,BSU38170,,,,,
ywzA,BSU38180,,,,,
galT,BSU38190,,,,,
galK,BSU38200,,,,,
ywcD,BSU38210,,,,,
ywcC,BSU38220,,,,,
slrA,BSU38229,,,,,
ywcB,BSU38230,,,,,
ywcA,BSU38240,,,,,
ywbO,BSU38250,,,,,
efeN,BSU38260,,ywbN,,,
efeM,BSU38270,,ywbM,,,
efeU,BSU38280,,ywbL,,,
thiE,BSU38290,,thiC,ywbK,,
thiM,BSU38300,,thiK,ywbJ,,
ywbI,BSU38310,,,,,
cidA,BSU38320,,ywbH,,,
ywbG,BSU38330,,,,,
ywbF,BSU38340,,,,,
ywbE,BSU38350,,,,,
ywbD,BSU38360,,,,,
ywbC,BSU38370,,,,,
ywbB,BSU38380,,,,,
ywbA,BSU38390,,,,,
epr,BSU38400,,,,,
sacX,BSU38410,,sacS,,,
sacY,BSU38420,,sacS,,,
gspA,BSU38430,,ywaG,,,
ywaF,BSU38440,,,,,
ywaE,BSU38450,,,,,
tyrS2,BSU38460,,tyrR,tyrS1,tyrT,tyrZ
ywaD,BSU38470,,,,,
ywaC,BSU38480,,,,,
menA,BSU38490,,ywaB,,,
ywzH,BSU38499,,,,,
dltA,BSU38500,,dae,,,
dltB,BSU38510,,,,,
dltC,BSU38520,,,,,
dltD,BSU38530,,,,,
dltE,BSU38540,,,,,
ilvK,BSU38550,,ywaA,,,
licH,BSU38560,,celD,celF,,
licA,BSU38570,,celC,,,
licC,BSU38580,,celB,,,
licB,BSU38590,,celA,,,
licR,BSU38600,,celR,,,
yxzF,BSU38610,,,,,
yxlJ,BSU38620,,,,,
katX,BSU38630,,yxlI,,,
yxlH,BSU38640,,,,,
yxlG,BSU38650,,,,,
yxlF,BSU38660,,,,,
yxlE,BSU38670,,,,,
yxlD,BSU38680,,,,,
yxlC,BSU38690,,,,,
sigY,BSU38700,,yxlB,,,
yxlA,BSU38710,,,,,
nnrD,BSU38720,,yxkO,,,
cydD,BSU38730,,yxkN,,,
cydC,BSU38740,,yxkM,,,
cydB,BSU38750,,yxkL,,,
cydA,BSU38760,,yxkK,,,
cimH,BSU38770,,yxkJ,,,
yxkI,BSU38780,,,,,
yxzE,BSU38790,,,,,
yxkH,BSU38800,,,,,
msmX,BSU38810,,yxkG,,,
yxkF,BSU38820,,,,,
aldY,BSU38830,,yxkE,,,
yxkD,BSU38840,,,,,
yxkC,BSU38850,,,,,
galE,BSU38860,,,,,
yxkA,BSU38870,,,,,
yxjO,BSU38880,,,,,
yxjN,BSU38890,,,,,
yxjM,BSU38900,,,,,
yxjL,BSU38910,,,,,
pepT,BSU38920,,,,,
yxjJ,BSU38930,,,,,
yxjI,BSU38940,,,,,
yxjH,BSU38950,,,,,
yxjG,BSU38960,,,,,
yxjF,BSU38970,,,,,
scoB,BSU38980,,yxjE,,,
scoA,BSU38990,,yxjD,,,
yxjC,BSU39000,,,,,
yxjB,BSU39010,,,,,
nupG,BSU39020,,yxjA,,,
yxiT,BSU39030,,,,,
yxiS,BSU39040,,,,,
katE,BSU39050,,katB,,,
citN,BSU39060,,citH,yxiQ,,
bglS,BSU39070,,bgl,licS,,
licT,BSU39080,,,,,
yxiP,BSU39090,,S3B,,,
yxiO,BSU39100,,S3AR,,,
dbpA,BSU39110,,deaD,yxiN,,
yxiM,BSU39120,,,,,
yxzJ,BSU39139,,,,,
yxiK,BSU39140,,,,,
yxiJ,BSU39150,,,,,
yxiI,BSU39160,,,,,
yxzG,BSU39170,,,,,
yxiH,BSU39180,,,,,
yxiG,BSU39190,,,,,
yxzC,BSU39200,,,,,
yxiF,BSU39210,,,,,
wapI,BSU39220,,yxxG,,,
wapA,BSU39230,,,,,
yxxF,BSU39240,,,,,
yxiE,BSU39250,,,,,
bglH,BSU39260,,,,,
bglP,BSU39270,,,,,
yxxE,BSU39280,,,,,
yxxD,BSU39290,,,,,
yxiD,BSU39300,,J3D,,,
yxiC,BSU39310,,J3C,,,
yxiB,BSU39320,,J3B,,,
abn2,BSU39330,,J3A,yxiA,,
yxzL,BSU39339,,,,,
hutP,BSU39340,,,,,
hutH,BSU39350,,,,,
hutU,BSU39360,,,,,
hutI,BSU39370,,,,,
hutG,BSU39380,,,,,
hutM,BSU39390,,,,,
pdp,BSU39400,,,,,
nupC,BSU39410,,,,,
deoC,BSU39420,,dra,,,
deoR,BSU39430,,yxxC,,,
yxxB,BSU39440,,LP6B,,,
yxeR,BSU39450,,LP6A,,,
yxeQ,BSU39460,,,,,
scmP,BSU39470,,sndB,yxeP,,
yxeO,BSU39480,,,,,
yxeN,BSU39490,,,,,
yxeM,BSU39500,,,,,
scmL,BSU39510,,snaB,yxeL,,
scmK,BSU39520,,yxeK,,,
yxeJ,BSU39530,,,,,
yxeI,BSU39540,,,,,
yxeH,BSU39550,,IP1B,,,
yxeG,BSU39560,,IP1A,,,
yxeF,BSU39570,,,,,
yxeE,BSU39580,,,,,
yxeD,BSU39590,,,,,
yxeC,BSU39600,,,,,
yxeB,BSU39610,,,,,
yxeA,BSU39620,,,,,
yxdM,BSU39630,,,,,
yxdL,BSU39640,,,,,
yxdK,BSU39650,,,,,
yxdJ,BSU39660,,,,,
iolJ,BSU39670,,fbaB,yxdI,,
iolI,BSU39680,,yxdH,,,
iolH,BSU39690,,yxdG,,,
iolG,BSU39700,,idh,,,
iolF,BSU39710,,yxdF,,,
iolE,BSU39720,,yxdE,,,
iolD,BSU39730,,yxdD,,,
iolC,BSU39740,,yxdC,,,
iolB,BSU39750,,yxdB,,,
iolA,BSU39760,,mmsA,yxdA,,
iolR,BSU39770,,,,,
iolS,BSU39780,,yxbF,,,
yxcE,BSU39790,,,,,
yxcD,BSU39800,,,,,
csbC,BSU39810,,yxcC,,,
htpG,BSU39820,,yxbB,,,
yxcA,BSU39830,,E3C,,,
yxbG,BSU39840,,E3BR,yxaU,,
yxbF,BSU39850,,E3A,yxaT,,
aldX,BSU39860,,yxaS,yxbE,,
yxbD,BSU39870,,yxaR,,,
yxbC,BSU39880,,yxaQ,,,
yxbB,BSU39890,,yxaP,,,
yxbA,BSU39900,,yxaO,,,
yxnB,BSU39910,,,,,
asnH,BSU39920,,yxaN,,,
yxaM,BSU39930,,,,,
yxaL,BSU39940,,yxaK,,,
yxaJ,BSU39950,,,,,
yxaI,BSU39960,,,,,
yxaH,BSU39970,,,,,
qdoI,BSU39980,,yxaG,,,
